Cenario 1;Cenario 2;Cenario 3;Cenario 4;Cenario 5;Cenario 6
0;0;0;0;0;0
0;0;0;0;0;0
64.47288341404288;98.22124827988382;98.22124827988382;14.332059224063993;98.22124827988382;-17.80850659390445
170.33923920047764;151.5817170907822;342.8600958293548;278.58459437477177;342.8600958293548;-116.79434643647555
-74.82729197602383;57.59549460647568;496.08699300197264;269.7936582132233;496.08699300197264;-549.0056091284993
247.3908927430547;363.41293185449024;723.0916214680474;605.9290618648996;723.0916214680474;-198.13788479210072
313.33371390022455;537.6015160432407;723.0916214680474;679.3371080587302;723.0916214680474;-473.72910906215964
-11.449977753201209;367.09328079014364;588.0578923728533;463.5557629500438;500.5543020872866;-481.8760163434252
1.7036325188729844;276.1408780551916;588.0578923728533;471.6805234412701;514.1891420034611;-191.05290142549225
22.643376143470036;323.62303273835425;471.41138453111785;345.1310527222406;433.7002717443572;-60.17691635748446
-21.77467098735456;-184.0936872243706;312.45317038143037;118.73549203255381;284.4268654196434;-72.48388185887057
0;0;0;0;0;0
