Cenario 1;Cenario 2;Cenario 3
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.08705549749554
81.11100212866876;53.60307228529721;14.087055497495538
81.11100212866876;53.60307228529721;14.087055497495538
81.11100212866876;53.60307228529721;14.087055497495538
